galaxy,chi2,chi2_red,n_dof,success,r_core,AIC,BIC,convergence_info,log_rho_s,log_r_s,Y_disk,Y_bulge
UGC07524,10.680114839543796,0.39555980887199244,27,True,1.9258809086867337,18.680114839543798,24.41606365748438,"DE: nit=29, nfev=1865",6.457387127018051,1.106230749981383,0.8376999086394153,1.4947603062035424
NGC4217,46.24568151471685,3.0830454343144567,15,True,1.7593107415429716,54.24568151471685,58.02343743138261,"DE: nit=49, nfev=3110",6.320043007531836,1.6184685987570926,0.9702858509993019,0.3
UGC01281,1.448259730720829,0.07241298653604145,20,True,2.102786419440985,9.448259730720828,14.16047505211261,"DE: nit=52, nfev=3260",7.177791513773807,0.5284348264258996,0.1,0.7210169440371019
NGC5371,131.2022557497156,8.74681704998104,15,True,1.3208382191199415,139.2022557497156,142.98001166638136,"DE: nit=33, nfev=2150",7.795964909049497,0.7975341178652815,0.3476900337649106,1.4149627494176276
IC2574,25.54635556244849,0.8515451854149496,30,True,1.895693181510138,33.54635556244849,39.65179766091313,"DE: nit=23, nfev=1535",5.93340914165782,1.3918069474867791,0.43702540520509575,1.40868152415924
UGC00128,29.833479291664073,1.6574155162035595,18,True,1.8473209558082382,37.83347929166408,42.197649105097334,"DE: nit=48, nfev=3020",6.842341388086222,1.1384444185828742,0.1,0.7073559643124131
DDO168,12.94954381209631,2.1582573020160516,6,True,1.9586371522425936,20.94954381209631,22.159884184072492,"DE: nit=44, nfev=2765",7.865700969225649,0.11256798031294786,0.1,1.2100228904060575
F574-1,4.895979420459246,0.48959794204592455,10,True,1.8439979085001825,12.895979420459245,15.45220873892028,"DE: nit=31, nfev=1995",6.752957710366647,1.053361140744732,0.6847797972524151,0.8004222195782881
UGC04305,12.296059625426205,0.7232976250250709,17,True,0.799206074530698,20.296059625426203,24.474149376319897,"DE: nit=54, nfev=3745",9.005602199535753,-0.6516722087609064,0.10018690749495662,0.7848714736625753
NGC2976,6.7233623611372515,0.29232010265814135,23,True,1.752330436725344,14.723362361137251,19.906709825154568,"DE: nit=50, nfev=3420",6.982755772606281,0.988008463580216,0.40523430649796555,1.3024518751584808
ESO563-G021,265.99484362497424,10.230570908652854,26,True,1.392349144503159,273.99484362497424,279.59963315162287,"DE: nit=35, nfev=2250",7.031904676338287,1.4110652352196056,0.5108813556574634,0.6735548147000804
NGC0891,43.34182543523203,3.095844673945145,14,True,1.2639125758000316,51.34182543523203,54.903312466816686,"DE: nit=64, nfev=3975",7.864026524924007,0.8242535214718566,0.1,0.6232621854763278
NGC3917,12.945454937421857,0.9958042259555275,13,True,1.7328478068426962,20.945454937421857,24.278308313646722,"DE: nit=35, nfev=2220",6.875532075008144,1.1050541263128257,0.5892239781111058,1.4030849356552972
ESO079-G014,13.245284822802697,1.2041168020729724,11,True,1.6771954151234334,21.245284822802695,24.077485627211537,"DE: nit=39, nfev=2490",6.695499686539083,1.360778706448559,0.4883385585251339,1.09446930316863
