galaxy,profile,chi2,chi2_red,n_dof,AIC,BIC,success,r_core
F563-V2,nfw,7.805850236092563,1.3009750393487605,6,15.805850236092564,17.016190608068744,True,0.0
NGC4559,nfw,5.69542032114275,0.20340786861224108,28,13.69542032114275,19.558363932341656,True,0.0
F579-V1,nfw,2.220160519362162,0.2220160519362162,10,10.220160519362162,12.776389837823196,True,0.0
DDO064,nfw,7.221354353492898,0.7221354353492898,10,15.221354353492899,17.77758367195393,True,0.0
UGC07399,nfw,7.03060831465855,1.1717680524430916,6,15.03060831465855,16.24094868663473,True,0.0
NGC0801,nfw,54.06957742647309,6.0077308251636765,9,62.06957742647309,64.32937485631923,True,0.0
DDO161,nfw,10.756823062304818,0.3984008541594377,27,18.756823062304818,24.492771880245403,True,0.0
UGC11455,nfw,167.36745644053516,5.230233013766724,32,175.36745644053516,181.7015321943596,True,0.0
UGC06786,nfw,19.25424793911914,0.46961580339314973,41,27.25424793911914,34.48089789820042,True,0.0
UGC07524,nfw,21.145102859270423,0.7831519577507564,27,29.145102859270423,34.881051677211005,True,0.0
NGC4217,nfw,75.68114812485703,5.045409874990469,15,83.68114812485703,87.4589040415228,True,0.0
UGC01281,nfw,28.931536811720175,1.4465768405860087,20,36.93153681172018,41.64375213311196,True,0.0
NGC5371,nfw,67.99980245963971,4.533320163975981,15,75.99980245963971,79.77755837630548,True,0.0
IC2574,nfw,96.69874522385068,3.2232915074616892,30,104.69874522385068,110.80418732231533,True,0.0
UGC00128,nfw,25.324072199203254,1.4068928999557364,18,33.32407219920326,37.688242012636515,True,0.0
DDO168,nfw,41.165342682901425,6.860890447150237,6,49.165342682901425,50.375683054877605,True,0.0
F574-1,nfw,18.20888430361307,1.8208884303613069,10,26.20888430361307,28.765113622074104,True,0.0
UGC04305,nfw,32.87434307013982,1.9337848864788132,17,40.87434307013982,45.05243282103351,True,0.0
NGC2976,nfw,20.13353154729094,0.8753709368387365,23,28.13353154729094,33.31687901130826,True,0.0
ESO563-G021,nfw,476.5122113751462,18.32739274519793,26,484.5122113751462,490.1170009017948,True,0.0
NGC0891,nfw,30.494601690846782,2.1781858350604844,14,38.49460169084678,42.05608872243144,True,0.0
NGC3917,nfw,39.95075271267395,3.0731348240518424,13,47.95075271267395,51.28360608889882,True,0.0
ESO079-G014,nfw,45.71052647967934,4.155502407243576,11,53.71052647967934,56.54272728408818,True,0.0
UGC05005,nfw,1.7257796852791025,0.24653995503987178,7,9.725779685279102,11.317360776472585,True,0.0
F568-V1,nfw,2.045118060836752,0.2045118060836752,10,10.045118060836753,12.601347379297785,True,0.0
NGC3877,nfw,39.38055748157533,4.375617497952814,9,47.38055748157533,49.640354911421475,True,0.0
D631-7,nfw,58.74545903446492,4.895454919538744,12,66.74545903446491,69.83581392342404,True,0.0
NGC2683,nfw,6.784228904014437,0.9691755577163482,7,14.784228904014437,16.37580999520792,True,0.0
NGC2366,nfw,52.67545760905771,2.394338982229896,22,60.67545760905771,65.70784376114364,True,0.0
IC4202,nfw,684.0916556626125,24.431844845093305,28,692.0916556626125,697.9545992738115,True,0.0
UGC11914,nfw,39.659715571734,0.6501592716677704,61,47.659715571734,56.35726465131654,True,0.0
UGC03205,nfw,142.17387225746023,3.2312243694877325,44,150.17387225746023,157.6586763010918,True,0.0
F563-1,nfw,16.018190105191035,1.2321684696300796,13,24.018190105191035,27.3510434814159,True,0.0
NGC2903,nfw,181.93833500409505,6.064611166803169,30,189.93833500409505,196.0437771025597,True,0.0
UGC01230,nfw,8.370300285583722,1.1957571836548175,7,16.370300285583724,17.961881376777207,True,0.0
NGC0289,nfw,47.903414797394404,1.9959756165581002,24,55.903414797394404,61.23223283809522,True,0.0
NGC7814,nfw,5.785822886382626,0.41327306331304475,14,13.785822886382626,17.347309917967284,True,0.0
DDO154,nfw,12.529463650625653,1.5661829563282066,8,20.52946365062565,22.469090249777654,True,0.0
UGC06446,nfw,3.009304131307618,0.23148493317750907,13,11.009304131307617,14.342157507532482,True,0.0
UGC05750,nfw,4.03340739435141,0.672234565725235,6,12.03340739435141,13.24374776632759,True,0.0
NGC6946,nfw,81.54163714567441,1.5100303175124892,54,89.54163714567441,97.78340918786009,True,0.0
